Original Air Date,Title,Instructor,Length,Type
Tue Nov 26 08:49:00 2019,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Tue Nov 26 08:34:00 2019,10 min Relaxing Meditation,Aditi Shah,10.0,Relax & Sleep
Tue Nov 26 08:25:00 2019,5 min Gratitude Meditation,Aditi Shah,5.0,Emotions
Mon Nov 25 08:49:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Mon Nov 25 08:11:00 2019,20 min Sleep Meditation,Anna Greenberg,20.0,Relax & Sleep
Mon Nov 25 08:02:00 2019,5 min Acceptance Meditation,Anna Greenberg,5.0,Emotions
Mon Nov 25 07:56:00 2019,5 min Basics: My First Meditation,Anna Greenberg,5.0,Meditation Basics
Mon Nov 25 05:31:00 2019,20 min Gratitude Meditation,Aditi Shah,20.0,Emotions
Sun Nov 24 09:18:00 2019,15 min Sleep Meditation,Kristin McGee,15.0,Relax & Sleep
Sun Nov 24 09:11:00 2019,5 min Empathy Meditation,Kristin McGee,5.0,Emotions
Sun Nov 24 08:56:00 2019,10 min Happiness Meditation,Kristin McGee,10.0,Emotions
Fri Nov 22 08:48:00 2019,Zen in Ten,Kristin McGee,10.0,Zen in Ten
Fri Nov 22 07:08:00 2019,5 min Peace Meditation,Ross Rayburn,5.0,Emotions
Thu Nov 21 08:49:00 2019,Zen in Ten,Ross Rayburn,10.0,Zen in Ten
Thu Nov 21 05:31:00 2019,20 min Relaxing Meditation,Ross Rayburn,20.0,Relax & Sleep
Wed Nov 20 16:18:00 2019,30 min Sleep Meditation,Aditi Shah,30.0,Relax & Sleep
Tue Nov 19 08:49:00 2019,Zen in Ten,Anna Greenberg,10.0,Zen in Ten
Tue Nov 19 06:25:00 2019,5 min Sleep Meditation,Anna Greenberg,5.0,Relax & Sleep
Mon Nov 18 11:45:00 2019,20 min Sleep Meditation,Kristin McGee,20.0,Relax & Sleep
Mon Nov 18 11:37:00 2019,5 min Relaxing Meditation,Kristin McGee,5.0,Relax & Sleep
Mon Nov 18 11:23:00 2019,10 min Kindness Meditation,Kristin McGee,10.0,Emotions
Mon Nov 18 08:50:00 2019,Zen in Ten,Aditi Shah,10.0,Zen in Ten
Mon Nov 18 08:01:00 2019,10 min Breathing Meditation,Aditi Shah,10.0,Mindfulness
Mon Nov 18 07:55:00 2019,5 min Fitness Goals Meditation,Aditi Shah,5.0,Fitness Focus
