Original Air Date,Type,Instructor,Length
Fri Dec 27 04:48:00 2019,Fun Run,Rebecca Kennedy,30.0
Fri Dec 27 04:00:00 2019,Fun Run,Matty Maggiacomo,30.0
Thu Dec 26 16:19:00 2019,Fun Run,Becs Gentry,30.0
Thu Dec 26 14:15:00 2019,Fun Run,Olivia Amato,45.0
Thu Dec 26 03:49:00 2019,Intervals Running,Jess Sims,20.0
Tue Dec 24 05:22:00 2019,Fun Run,Olivia Amato,20.0
Tue Dec 24 04:48:00 2019,Fun Run,Olivia Amato,20.0
Tue Dec 24 03:49:00 2019,Intervals Running,Jess Sims,45.0
Mon Dec 23 14:15:00 2019,Fun Run,Robin Arzon,30.0
Mon Dec 23 03:47:00 2019,Fun Run,Becs Gentry,20.0
Mon Dec 23 02:53:00 2019,Intervals Running,Selena Samuela,20.0
Sun Dec 22 07:54:00 2019,Fun Run,Matt Wilpers,60.0
Sat Dec 21 05:19:00 2019,Fun Run,Becs Gentry,45.0
Fri Dec 20 08:47:00 2019,Fun Run,Andy Speer,30.0
Fri Dec 20 04:48:00 2019,Fun Run,Becs Gentry,30.0
Fri Dec 20 03:49:00 2019,Fun Run,Selena Samuela,45.0
Thu Dec 19 14:18:00 2019,Fun Run,Olivia Amato,45.0
Thu Dec 19 05:32:00 2019,Warm Up/Cool Down Running,Jess Sims,10.0
Thu Dec 19 04:47:00 2019,Fun Run,Jess Sims,30.0
Thu Dec 19 03:47:00 2019,Intervals Running,Chase Tucker,10.0
Thu Dec 19 03:21:00 2019,Speed Running,Becs Gentry,20.0
